id,difficulty,song,correct_character,other_characters,spotify_uri,youtube_id
2,easy,A Whole New World,abu,meeko;mushu;donkey;rafiki;philoctetes,ed2cba9d69b84288,uAcSiVeVXpI
3,medium,The Matrix Theme,agent_smith,terminator;blackbeard;harkonnen;jason_bourne;dexter,3e573a11ee9844c6,dzEtP6fpbOo
4,easy,A Whole New World,aladdin,esmeralda;elsa;anastasia;woody;voldemort,ed2cba9d69b84288,uAcSiVeVXpI
5,medium,Once Upon a December,anastasia,elsa;mulan;pocahontas;ariel;jasmine,03e4ed4e2c0440a8,koWKsgOSs1w
6,medium,Apollo 13 Theme,apollo13_hanks,interstellar;inception;edge_of_tmrw_tc;et;luke_skywalker,34ba6ddbeaf848f0,RPnWVzAZkH4
7,medium,The Fellowship Theme,aragorn,william_wallace;hodor;leonidas;last_samurai_tc;maximus,19927ccf4bfb47cb,OMh1xkxzXVY
8,easy,Part of Your World,ariel,jasmine;pocahontas;mulan;esmeralda;anastasia,2d35f86f9bd24c58,sg1Y6Vxl6Nk
9,easy,Pokemon Theme,ash_ketchum,rick_sanchez;doctor_doom;charlie_brown;miles_morales;static_shock,3853093b1a7a4463,fAP-lGPqHbA
10,medium,The Chronicles of Narnia Aslan Theme,aslan,mufasa;spirit;shadowfax;scar;bagheera,2618f2a14d5445f0,fhghtHmnqJE
11,medium,The Mandalorian Theme,baby_yoda,meeko;et;spirit;mushu;aslan,3d0a04b2b2df4f82,xXp4GnC1Z3Q
12,medium,Toccata and Fugue in D minor,bach,beethoven;mozart;chopin;schubert;grieg,f3763adaa4f44b30,z69C2Jqp42Q
13,medium,The Bare Necessities (Reprise),bagheera,mufasa;aslan;spirit;rafiki;meeko,4c5a533362d6462a,5LkymWf0WyQ
14,medium,The Dark Knight Theme,batman,spiderman;wolverine;black_adam;doctor_strange;miles_morales,559478619b454961,ypmrU7QfiDc
16,medium,Moonlight Sonata,beethoven,mozart;bach;chopin;schubert;grieg,0fd4e0a00d064e4c,9_C6CTs0WhI
17,medium,Day-O (The Banana Boat Song),beetlejuice,jack_skellington;joker;pennywise;phantom;voldemort,464de95c1f554227,YO7M0Hx_1D8
18,medium,Heart and Soul,big_hanks,forrest_gump_hanks;philadelphia_hanks;cast_away_hanks;saving_private_ryan_hanks;sully_hanks,2944cefc0c90479c,RzbsmZoe0Ww
19,medium,Black Adam Theme,black_adam,doctor_doom;thanos;voldemort;erik_killmonger;green_goblin,8546489e16ef4494,Lzs7ANbGApc
22,medium,The Breaking of the Fellowship,boromir,william_wallace;maximus;leonidas;conan;chief_brody,84ca4b92a4724a47,fowHzOH9rqk
23,easy,To Infinity and Beyond,buzz_lightyear,spiderman;mandalorian;optimus_prime;tony_stark;luke_skywalker,82c2aa83ad3d4cbd,ONas_NTTYjg
24,medium,Safe Now,captain_phillips_hanks,sully_hanks;saving_private_ryan_hanks;apollo13_hanks;forrest_gump_hanks;philadelphia_hanks,1fb0322f85414a8c,JTRoOyxuEsA
